model,idx,image,true,pred,correct,prob_pred,prob_malignant,lesion_area,lesion_energy,peak_in_lesion,border_energy,hot_area
VGG16,36,benign (303).png,benign,benign,True,0.8563,0.1437,0.0509,0.0310,False,0.5187,0.0499
VGG16,37,benign (434).png,benign,benign,True,0.9986,0.0014,0.1639,0.3675,False,0.1923,0.0684
VGG16,38,benign (28).png,benign,benign,True,1.0000,0.0000,0.0318,0.2596,True,0.1788,0.0549
VGG16,39,benign (294).png,benign,benign,True,0.9120,0.0880,0.0757,0.0227,False,0.3310,0.0442
VGG16,40,benign (122).png,benign,benign,True,0.6756,0.3244,0.0318,0.0003,False,0.6286,0.0605
VGG16,41,benign (129).png,benign,benign,True,1.0000,0.0000,0.0143,0.1160,False,0.1654,0.0395
VGG16,42,malignant (181).png,malignant,malignant,True,0.9284,0.9284,0.0458,0.1123,False,0.2534,0.0596
VGG16,43,benign (171).png,benign,benign,True,0.9928,0.0072,0.0055,0.0438,True,0.3359,0.0377
VGG16,44,malignant (89).png,malignant,malignant,True,0.5987,0.5987,0.2315,0.5818,True,0.1758,0.0475
VGG16,45,benign (395).png,benign,malignant,False,0.5445,0.5445,0.1187,0.0186,False,0.0697,0.0829
VGG16,46,malignant (44).png,malignant,benign,False,0.9998,0.0002,0.0304,0.0054,False,0.2600,0.0339
VGG16,47,benign (264).png,benign,benign,True,0.9957,0.0043,0.0901,0.2592,True,0.3721,0.0297
VGG16,48,benign (33).png,benign,benign,True,1.0000,0.0000,0.0593,0.4726,True,0.1671,0.0468
VGG16,49,benign (44).png,benign,benign,True,1.0000,0.0000,0.0135,0.1095,False,0.1746,0.0396
VGG16,50,malignant (138).png,malignant,benign,False,0.7943,0.2057,0.1196,0.1603,False,0.4808,0.0771
VGG16,51,benign (180).png,benign,benign,True,1.0000,0.0000,0.0254,0.2436,True,0.1304,0.0444
VGG16,52,malignant (54).png,malignant,malignant,True,0.6083,0.6083,0.0607,0.0162,False,0.2038,0.0673
VGG16,53,malignant (203).png,malignant,malignant,True,0.8933,0.8933,0.2251,0.1468,False,0.2953,0.0688
VGG16,54,benign (239).png,benign,benign,True,0.7075,0.2925,0.0237,0.0106,False,0.5730,0.0390
VGG16,55,benign (23).png,benign,benign,True,1.0000,0.0000,0.0414,0.3741,True,0.2039,0.0449
VGG16,56,benign (398).png,benign,malignant,False,0.8252,0.8252,0.2159,0.0384,False,0.2072,0.0755
VGG16,57,benign (277).png,benign,benign,True,1.0000,0.0000,0.0779,0.0488,False,0.2747,0.0381
VGG16,58,benign (235).png,benign,benign,True,0.7858,0.2142,0.0828,0.0097,False,0.3450,0.0470
VGG16,59,benign (334).png,benign,benign,True,1.0000,0.0000,0.0240,0.0000,False,0.2981,0.0515
VGG16,60,benign (217).png,benign,benign,True,0.9997,0.0003,0.0870,0.1210,False,0.2322,0.1470
VGG16,61,malignant (52).png,malignant,benign,False,0.9841,0.0159,0.2075,0.2407,False,0.4011,0.0639
VGG16,62,benign (365).png,benign,benign,True,0.9987,0.0013,0.0310,0.1558,True,0.2845,0.0494
VGG16,63,benign (409).png,benign,benign,True,0.6166,0.3834,0.3656,0.0805,False,0.6247,0.0525
VGG16,64,benign (273).png,benign,benign,True,0.7028,0.2972,0.1051,0.0342,False,0.6257,0.0537
VGG16,65,benign (153).png,benign,benign,True,1.0000,0.0000,0.0064,0.0644,False,0.1123,0.0435
VGG16,66,benign (400).png,benign,benign,True,0.9904,0.0096,0.3702,0.4515,True,0.4762,0.0429
VGG16,67,malignant (33).png,malignant,malignant,True,0.9865,0.9865,0.2202,0.5805,True,0.1027,0.1282
VGG16,68,benign (369).png,benign,benign,True,1.0000,0.0000,0.0118,0.1117,False,0.1342,0.0417
VGG16,69,malignant (24).png,malignant,malignant,True,0.9940,0.9940,0.2132,0.4832,True,0.1349,0.1870
VGG16,70,benign (160).png,benign,benign,True,1.0000,0.0000,0.0099,0.0908,False,0.1227,0.0432
VGG16,71,benign (35).png,benign,benign,True,1.0000,0.0000,0.0116,0.0658,False,0.2469,0.0637
VGG16,72,benign (187).png,benign,benign,True,1.0000,0.0000,0.0158,0.1556,False,0.1569,0.0402
VGG16,73,malignant (172).png,malignant,malignant,True,0.9944,0.9944,0.0661,0.1457,False,0.0994,0.1415
VGG16,74,benign (284).png,benign,benign,True,0.9997,0.0003,0.0624,0.0795,False,0.2226,0.1586
VGG16,75,benign (37).png,benign,benign,True,1.0000,0.0000,0.0171,0.1376,False,0.1786,0.0449
VGG16,76,benign (241).png,benign,benign,True,1.0000,0.0000,0.0453,0.0816,False,0.1411,0.0725
VGG16,77,benign (324).png,benign,benign,True,1.0000,0.0000,0.0074,0.0832,False,0.2087,0.0360
VGG16,78,benign (7).png,benign,benign,True,1.0000,0.0000,0.0061,0.0694,False,0.1930,0.0360
VGG16,79,malignant (36).png,malignant,malignant,True,0.6466,0.6466,0.0991,0.2783,False,0.0778,0.0732
VGG16,80,benign (169).png,benign,benign,True,0.9854,0.0146,0.0053,0.0517,False,0.3030,0.0332
VGG16,81,malignant (64).png,malignant,malignant,True,0.9995,0.9995,0.0689,0.0909,False,0.1427,0.2899
VGG16,82,benign (215).png,benign,benign,True,0.9997,0.0003,0.0235,0.0596,False,0.4238,0.0326
VGG16,83,malignant (7).png,malignant,malignant,True,0.9477,0.9477,0.0499,0.1388,False,0.1085,0.1438
VGG16,84,benign (157).png,benign,benign,True,1.0000,0.0000,0.0418,0.3563,True,0.2151,0.0428
VGG16,85,benign (336).png,benign,benign,True,0.9742,0.0258,0.0399,0.0193,False,0.3755,0.0237
VGG16,86,benign (428).png,benign,benign,True,0.9999,0.0001,0.0598,0.1177,False,0.4133,0.1433
VGG16,87,benign (417).png,benign,benign,True,0.9962,0.0038,0.0281,0.0947,False,0.3359,0.0342
VGG16,88,benign (436).png,benign,benign,True,0.9101,0.0899,0.0959,0.0122,False,0.3215,0.0292
VGG16,89,malignant (93).png,malignant,malignant,True,0.7450,0.7450,0.1439,0.0852,False,0.1795,0.0695
VGG16,90,benign (141).png,benign,malignant,False,0.9865,0.9865,0.5125,0.6870,True,0.1374,0.2454
VGG16,91,benign (420).png,benign,benign,True,0.7275,0.2725,0.1261,0.1328,False,0.3870,0.0498
VGG16,92,benign (243).png,benign,benign,True,1.0000,0.0000,0.1046,0.0699,False,0.2978,0.0535
VGG16,93,benign (265).png,benign,benign,True,0.9857,0.0143,0.0677,0.1629,True,0.3902,0.1259
VGG16,94,malignant (55).png,malignant,malignant,True,0.7190,0.7190,0.0475,0.3920,True,0.1293,0.0114
VGG16,95,benign (64).png,benign,malignant,False,0.9802,0.9802,0.4487,0.6049,True,0.1531,0.1159
VGG16,96,malignant (45).png,malignant,malignant,True,0.9441,0.9441,0.1738,0.5015,True,0.1066,0.1010
VGG16,97,malignant (128).png,malignant,malignant,True,1.0000,1.0000,0.3611,0.6994,True,0.0962,0.1313
VGG16,98,benign (387).png,benign,benign,True,1.0000,0.0000,0.0721,0.3840,True,0.2014,0.0478
VGG16,99,benign (99).png,benign,benign,True,1.0000,0.0000,0.0426,0.3673,True,0.2107,0.0392
VGG16,100,malignant (28).png,malignant,benign,False,0.8542,0.1458,0.0335,0.2063,True,0.4170,0.0556
VGG16,101,benign (24).png,benign,benign,True,1.0000,0.0000,0.0210,0.1807,False,0.1175,0.0512
VGG16,102,benign (30).png,benign,benign,True,1.0000,0.0000,0.0141,0.1445,True,0.1455,0.0372
VGG16,103,benign (411).png,benign,benign,True,0.5668,0.4332,0.1144,0.2548,False,0.6706,0.0607
VGG16,104,benign (402).png,benign,malignant,False,0.8196,0.8196,0.0460,0.0001,False,0.0737,0.1093
VGG16,105,benign (364).png,benign,benign,True,0.5110,0.4890,0.0517,0.0130,False,0.6506,0.0277
VGG16,106,malignant (210).png,malignant,malignant,True,0.9844,0.9844,0.2211,0.6325,True,0.1227,0.1618
VGG16,107,benign (144).png,benign,benign,True,1.0000,0.0000,0.0028,0.0321,False,0.1592,0.0394
VGG16,108,malignant (157).png,malignant,malignant,True,0.9900,0.9900,0.0197,0.0000,False,0.0929,0.1567
VGG16,109,benign (213).png,benign,benign,True,0.8966,0.1034,0.0379,0.0612,False,0.3634,0.0349
VGG16,110,benign (290).png,benign,benign,True,1.0000,0.0000,0.1319,0.0400,False,0.2328,0.0588
VGG16,111,malignant (188).png,malignant,malignant,True,0.9922,0.9922,0.1327,0.7211,True,0.0179,0.0635
VGG16,112,benign (253).png,benign,benign,True,0.9946,0.0054,0.0373,0.0641,False,0.3082,0.0771
VGG16,113,malignant (152).png,malignant,malignant,True,0.9662,0.9662,0.2158,0.4078,False,0.1391,0.1059
VGG16,114,malignant (190).png,malignant,benign,False,0.6712,0.3288,0.0916,0.0294,False,0.6020,0.0910
VGG16,115,benign (285).png,benign,benign,True,0.9992,0.0008,0.0584,0.0664,False,0.2335,0.1155
VGG16,116,benign (108).png,benign,benign,True,0.5954,0.4046,0.0312,0.0222,False,0.6488,0.0450
VGG16,117,benign (173).png,benign,benign,True,1.0000,0.0000,0.1019,0.3741,False,0.2409,0.0678
VGG16,118,benign (432).png,benign,benign,True,1.0000,0.0000,0.0781,0.2605,True,0.2035,0.0648
VGG16,119,malignant (150).png,malignant,malignant,True,0.9616,0.9616,0.3960,0.4680,True,0.2191,0.1098
VGG16,120,benign (238).png,benign,benign,True,0.9997,0.0003,0.0892,0.0374,False,0.4067,0.0419
VGG16,121,malignant (202).png,malignant,malignant,True,0.8898,0.8898,0.1359,0.4031,True,0.0547,0.0665
VGG16,122,malignant (46).png,malignant,malignant,True,0.8828,0.8828,0.0553,0.0800,False,0.0921,0.0632
VGG16,123,benign (67).png,benign,benign,True,0.9988,0.0012,0.1840,0.5350,True,0.2252,0.0616
VGG16,124,benign (156).png,benign,benign,True,1.0000,0.0000,0.0185,0.1774,True,0.1220,0.0491
VGG16,125,malignant (148).png,malignant,benign,False,0.9949,0.0051,0.0111,0.0425,False,0.4736,0.0640
VGG16,126,benign (220).png,benign,benign,True,0.9799,0.0201,0.0319,0.0215,False,0.4433,0.0818
VGG16,127,malignant (165).png,malignant,malignant,True,0.9903,0.9903,0.4220,0.6014,True,0.2132,0.1258
VGG16,128,benign (76).png,benign,benign,True,1.0000,0.0000,0.0176,0.1679,True,0.0788,0.0455
VGG16,129,malignant (131).png,malignant,malignant,True,0.9582,0.9582,0.0491,0.3223,True,0.2037,0.0340
