model,idx,image,true,pred,correct,prob_pred,prob_malignant,lesion_area,lesion_energy,peak_in_lesion,border_energy,hot_area
ResNet50,91,benign (420).png,benign,benign,True,0.7512,0.2488,0.1261,0.4505,False,0.0315,0.0298
ResNet50,92,benign (243).png,benign,benign,True,0.9609,0.0391,0.1046,0.2025,False,0.0375,0.0298
ResNet50,93,benign (265).png,benign,benign,True,0.9999,0.0001,0.0677,0.3864,True,0.0428,0.0315
ResNet50,94,malignant (55).png,malignant,malignant,True,0.5173,0.5173,0.0475,0.2195,True,0.1026,0.0426
ResNet50,95,benign (64).png,benign,malignant,False,1.0000,1.0000,0.4487,0.8771,True,0.0250,0.1132
ResNet50,96,malignant (45).png,malignant,malignant,True,0.8852,0.8852,0.1738,0.3643,True,0.0840,0.1278
ResNet50,97,malignant (128).png,malignant,malignant,True,1.0000,1.0000,0.3611,0.7209,True,0.0537,0.1302
ResNet50,98,benign (387).png,benign,benign,True,0.9994,0.0006,0.0721,0.3845,False,0.0133,0.0603
ResNet50,99,benign (99).png,benign,benign,True,0.9946,0.0054,0.0426,0.2094,False,0.0224,0.0351
ResNet50,100,malignant (28).png,malignant,benign,False,0.9634,0.0366,0.0335,0.3738,True,0.2128,0.0233
ResNet50,101,benign (24).png,benign,benign,True,0.9975,0.0025,0.0210,0.1691,False,0.0145,0.0319
ResNet50,102,benign (30).png,benign,benign,True,0.9640,0.0360,0.0141,0.0919,False,0.0150,0.0465
ResNet50,103,benign (411).png,benign,malignant,False,0.6966,0.6966,0.1144,0.0179,False,0.1617,0.0915
ResNet50,104,benign (402).png,benign,benign,True,0.9601,0.0399,0.0460,0.1166,False,0.0437,0.0435
ResNet50,105,benign (364).png,benign,benign,True,0.9993,0.0007,0.0517,0.2060,False,0.0106,0.0327
ResNet50,106,malignant (210).png,malignant,malignant,True,0.9999,0.9999,0.2211,0.6504,True,0.0263,0.1038
ResNet50,107,benign (144).png,benign,benign,True,0.9822,0.0178,0.0028,0.0061,False,0.0162,0.0348
ResNet50,108,malignant (157).png,malignant,malignant,True,0.9999,0.9999,0.0197,0.0001,False,0.0249,0.1225
ResNet50,109,benign (213).png,benign,benign,True,0.9995,0.0005,0.0379,0.2028,False,0.0125,0.0299
ResNet50,110,benign (290).png,benign,benign,True,0.9829,0.0171,0.1319,0.0834,False,0.0096,0.0329
ResNet50,111,malignant (188).png,malignant,malignant,True,0.9793,0.9793,0.1327,0.6147,True,0.0159,0.0480
ResNet50,112,benign (253).png,benign,benign,True,0.9999,0.0001,0.0373,0.2296,True,0.0072,0.0506
ResNet50,113,malignant (152).png,malignant,malignant,True,0.9880,0.9880,0.2158,0.5680,True,0.0597,0.1395
ResNet50,114,malignant (190).png,malignant,malignant,True,0.9843,0.9843,0.0916,0.4392,True,0.0232,0.0701
ResNet50,115,benign (285).png,benign,benign,True,0.9958,0.0042,0.0584,0.2384,False,0.0201,0.0386
ResNet50,116,benign (108).png,benign,benign,True,0.9712,0.0288,0.0312,0.0151,False,0.0238,0.0896
ResNet50,117,benign (173).png,benign,benign,True,0.9995,0.0005,0.1019,0.1938,False,0.0227,0.0369
ResNet50,118,benign (432).png,benign,benign,True,0.9996,0.0004,0.0781,0.3347,True,0.0106,0.0545
ResNet50,119,malignant (150).png,malignant,malignant,True,0.9480,0.9480,0.3960,0.9001,True,0.0406,0.0545
ResNet50,120,benign (238).png,benign,malignant,False,0.6894,0.6894,0.0892,0.3729,False,0.0124,0.0639
ResNet50,121,malignant (202).png,malignant,malignant,True,0.9999,0.9999,0.1359,0.4320,True,0.0386,0.0612
ResNet50,122,malignant (46).png,malignant,malignant,True,0.8281,0.8281,0.0553,0.1132,False,0.0692,0.1155
ResNet50,123,benign (67).png,benign,benign,True,0.9992,0.0008,0.1840,0.6722,True,0.0615,0.0855
ResNet50,124,benign (156).png,benign,benign,True,0.9955,0.0045,0.0185,0.1698,False,0.0080,0.0497
ResNet50,125,malignant (148).png,malignant,benign,False,0.8556,0.1444,0.0111,0.0159,False,0.1165,0.0603
ResNet50,126,benign (220).png,benign,benign,True,0.9876,0.0124,0.0319,0.1245,True,0.1047,0.0560
ResNet50,127,malignant (165).png,malignant,malignant,True,0.8958,0.8958,0.4220,0.7843,True,0.0925,0.1410
ResNet50,128,benign (76).png,benign,benign,True,0.9911,0.0089,0.0176,0.1567,True,0.0128,0.0403
ResNet50,129,malignant (131).png,malignant,benign,False,0.6685,0.3315,0.0491,0.4424,True,0.2275,0.0459
